query,answer,
Hiệu trưởng trường Đại học Bách Khoa thành phố Hồ Chí Minh hiện tại là ai?,Hiệu trưởng trường Đại học Bách Khoa thành phố Hồ Chí Minh hiện tại là GS. TS. Mai Thanh Phong,
Hiệu trưởng trường hiện tại là ai?,Hiệu trưởng trường Đại học Bách Khoa thành phố Hồ Chí Minh hiện tại là GS. TS. Mai Thanh Phong,
GS. TS. Mai Thanh Phong là hiệu trưởng của trường Đại học Bách Khoa TP.HCM phải không?,"Đúng, GS. TS. Mai Thanh Phong là hiệu trưởng của trường Đại học Bách Khoa TP.HCM.",
GS. TS. Mai Thanh Phong là hiệu trưởng của trường phải không?,"Đúng, GS. TS. Mai Thanh Phong là hiệu trưởng của trường Đại học Bách Khoa TP.HCM.",
Hiệu trưởng Trường ĐHBK hiện tại là ai?,Hiệu trưởng trường Đại học Bách Khoa thành phố Hồ Chí Minh hiện tại là GS. TS. Mai Thanh Phong,
GS. TS. Mai Thanh Phong là hiệu trưởng của trường ĐHBK TP.HCM phải không?,"Đúng, GS. TS. Mai Thanh Phong là hiệu trưởng của trường Đại học Bách Khoa TP.HCM.",
Trường ĐHBK TP.HCM hiện tại do ai giữ chức hiệu trưởng?,"Hiện tại, chức hiệu trưởng trường Đại học Bách Khoa TP.HCM do GS. TS. Mai Thanh Phong giữ.",
Ai đang giữ chức hiệu trưởng tại trường ĐHBK TP.HCM?,Chức hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện đang do GS. TS. Mai Thanh Phong giữ.,
GS. TS. Mai Thanh Phong đang giữ chức gì tại trường ĐHBK TP.HCM?,GS. TS. Mai Thanh Phong hiện đang giữ chức hiệu trưởng tại trường Đại học Bách Khoa TP.HCM.,
"Hiện tại, hiệu trưởng trường ĐHBK TP.HCM là ai?","Hiện tại, hiệu trưởng trường Đại học Bách Khoa TP.HCM là GS. TS. Mai Thanh Phong.",
Chức hiệu trưởng trường ĐHBK TP.HCM hiện nay do ai đảm nhận?,Chức hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện nay do GS. TS. Mai Thanh Phong đảm nhận.,
Ai là người đang giữ chức hiệu trưởng trường ĐHBK TP.HCM?,Người đang giữ chức hiệu trưởng trường Đại học Bách Khoa TP.HCM là GS. TS. Mai Thanh Phong.,
GS. TS. Mai Thanh Phong đang đảm nhận vị trí gì tại trường ĐHBK TP.HCM?,GS. TS. Mai Thanh Phong đang đảm nhận vị trí hiệu trưởng tại trường Đại học Bách Khoa TP.HCM.,
Hiệu trưởng trường ĐHBK TP.HCM hiện nay là ai?,Hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện nay là GS. TS. Mai Thanh Phong.,
Ai là hiệu trưởng hiện tại của trường ĐHBK TP.HCM?,Hiệu trưởng hiện tại của trường Đại học Bách Khoa TP.HCM là GS. TS. Mai Thanh Phong.,
GS. TS. Mai Thanh Phong là hiệu trưởng của Trường ĐHBK phải không?,"Đúng, GS. TS. Mai Thanh Phong là hiệu trưởng của trường Đại học Bách Khoa TP.HCM.",
Ai đang giữ chức hiệu trưởng tại Trường ĐHBK?,Chức hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện đang do GS. TS. Mai Thanh Phong giữ.,
GS. TS. Mai Thanh Phong đang giữ chức gì tại Trường ĐHBK?,GS. TS. Mai Thanh Phong hiện đang giữ chức hiệu trưởng tại trường Đại học Bách Khoa TP.HCM.,
"Hiện tại, hiệu trưởng Trường ĐHBK là ai?","Hiện tại, hiệu trưởng trường Đại học Bách Khoa TP.HCM là GS. TS. Mai Thanh Phong.",
Chức hiệu trưởng Trường ĐHBK hiện nay do ai đảm nhận?,Chức hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện nay do GS. TS. Mai Thanh Phong đảm nhận.,
Ai là người đang giữ chức hiệu trưởng Trường ĐHBK?,Người đang giữ chức hiệu trưởng trường Đại học Bách Khoa TP.HCM là GS. TS. Mai Thanh Phong.,
GS. TS. Mai Thanh Phong đang đảm nhận vị trí gì tại Trường ĐHBK?,GS. TS. Mai Thanh Phong đang đảm nhận vị trí hiệu trưởng tại trường Đại học Bách Khoa TP.HCM.,
Hiệu trưởng Trường ĐHBK hiện nay là ai?,Hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện nay là GS. TS. Mai Thanh Phong.,
Ai là hiệu trưởng hiện tại của Trường ĐHBK?,Hiệu trưởng hiện tại của trường Đại học Bách Khoa TP.HCM là GS. TS. Mai Thanh Phong.,
GS. TS. Mai Thanh Phong là hiệu trưởng của trường BK TP.HCM phải không?,"Đúng, GS. TS. Mai Thanh Phong là hiệu trưởng của trường Đại học Bách Khoa TP.HCM.",
Trường BK TP.HCM hiện tại do ai giữ chức hiệu trưởng?,"Hiện tại, chức hiệu trưởng trường Đại học Bách Khoa TP.HCM do GS. TS. Mai Thanh Phong giữ.",
Ai đang giữ chức hiệu trưởng tại trường BK TP.HCM?,Chức hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện đang do GS. TS. Mai Thanh Phong giữ.,
GS. TS. Mai Thanh Phong đang giữ chức gì tại trường BK TP.HCM?,GS. TS. Mai Thanh Phong hiện đang giữ chức hiệu trưởng tại trường Đại học Bách Khoa TP.HCM.,
"Hiện tại, hiệu trưởng trường BK TP.HCM là ai?","Hiện tại, hiệu trưởng trường Đại học Bách Khoa TP.HCM là GS. TS. Mai Thanh Phong.",
Chức hiệu trưởng trường BK TP.HCM hiện nay do ai đảm nhận?,Chức hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện nay do GS. TS. Mai Thanh Phong đảm nhận.,
Ai là người đang giữ chức hiệu trưởng trường BK TP.HCM?,Người đang giữ chức hiệu trưởng trường Đại học Bách Khoa TP.HCM là GS. TS. Mai Thanh Phong.,
GS. TS. Mai Thanh Phong đang đảm nhận vị trí gì tại trường BK TP.HCM?,GS. TS. Mai Thanh Phong đang đảm nhận vị trí hiệu trưởng tại trường Đại học Bách Khoa TP.HCM.,
Hiệu trưởng trường BK TP.HCM hiện nay là ai?,Hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện nay là GS. TS. Mai Thanh Phong.,
Ai là hiệu trưởng hiện tại của trường BK TP.HCM?,Hiệu trưởng hiện tại của trường Đại học Bách Khoa TP.HCM là GS. TS. Mai Thanh Phong.,
GS. TS. Mai Thanh Phong là hiệu trưởng của trường DHBK TP.HCM phải không?,"Đúng, GS. TS. Mai Thanh Phong là hiệu trưởng của trường Đại học Bách Khoa TP.HCM.",
Trường DHBK TP.HCM hiện tại do ai giữ chức hiệu trưởng?,"Hiện tại, chức hiệu trưởng trường Đại học Bách Khoa TP.HCM do GS. TS. Mai Thanh Phong giữ.",
Ai đang giữ chức hiệu trưởng tại trường DHBK TP.HCM?,Chức hiệu trưởng trường Đại học Bách Khoa TP.HCM hiện đang do GS. TS. Mai Thanh Phong giữ.,
